rio,estacion,municipio,estado,fecha,caudal_m3s
Amaime,Amaime,El Cerrito,Activa,2016-02-07,0.26
Amaime,Amaime,El Cerrito,Activa,2016-02-08,0.38
Amaime,Amaime,El Cerrito,Activa,2016-02-09,0.38
Amaime,Amaime,El Cerrito,Activa,2016-02-10,0.98
Amaime,Amaime,El Cerrito,Activa,2016-02-11,0.42
Amaime,Amaime,El Cerrito,Activa,2016-02-12,0.64
Amaime,Amaime,El Cerrito,Activa,2016-02-13,1.24
Amaime,Amaime,El Cerrito,Activa,2016-02-14,1.08
Amaime,Amaime,El Cerrito,Activa,2016-02-15,0.79
Amaime,Amaime,El Cerrito,Activa,2016-02-16,0.57
Amaime,Amaime,El Cerrito,Activa,2016-02-17,0.38
Amaime,Amaime,El Cerrito,Activa,2016-02-18,0.76
Amaime,Amaime,El Cerrito,Activa,2016-02-19,1.03
Amaime,Amaime,El Cerrito,Activa,2016-02-20,0.85
Amaime,Amaime,El Cerrito,Activa,2016-02-21,0.42
Amaime,Amaime,El Cerrito,Activa,2016-02-22,0.49
Amaime,Amaime,El Cerrito,Activa,2016-02-23,0.26
Amaime,Amaime,El Cerrito,Activa,2016-02-24,0.1
Amaime,Amaime,El Cerrito,Activa,2016-02-25,0.38
Amaime,Amaime,El Cerrito,Activa,2016-02-26,0.38
Amaime,Amaime,El Cerrito,Activa,2016-02-27,0.09
Amaime,Amaime,El Cerrito,Activa,2016-02-28,0.38
Amaime,Amaime,El Cerrito,Activa,2016-02-29,0.49
Amaime,Amaime,El Cerrito,Activa,2016-03-01,1.03
Amaime,Amaime,El Cerrito,Activa,2016-03-02,1.78
Amaime,Amaime,El Cerrito,Activa,2016-03-03,1.19
Amaime,Amaime,El Cerrito,Activa,2016-03-04,1.99
Amaime,Amaime,El Cerrito,Activa,2016-03-05,1.19
Amaime,Amaime,El Cerrito,Activa,2016-03-06,1.03
Amaime,Amaime,El Cerrito,Activa,2016-03-07,0.64
Amaime,Amaime,El Cerrito,Activa,2016-03-08,1.03
Amaime,Amaime,El Cerrito,Activa,2016-03-09,1.46
Amaime,Amaime,El Cerrito,Activa,2016-03-10,2.13
Amaime,Amaime,El Cerrito,Activa,2016-03-11,2.24
Amaime,Amaime,El Cerrito,Activa,2016-03-12,2.6
Amaime,Amaime,El Cerrito,Activa,2016-03-13,2.38
Amaime,Amaime,El Cerrito,Activa,2016-03-14,2.38
Amaime,Amaime,El Cerrito,Activa,2016-03-15,2.9
Amaime,Amaime,El Cerrito,Activa,2016-03-16,4.36
Amaime,Amaime,El Cerrito,Activa,2016-03-17,4.56
Amaime,Amaime,El Cerrito,Activa,2016-03-18,3.68
Amaime,Amaime,El Cerrito,Activa,2016-03-19,3.12
Amaime,Amaime,El Cerrito,Activa,2016-03-20,2.38
Amaime,Amaime,El Cerrito,Activa,2016-03-21,1.62
Amaime,Amaime,El Cerrito,Activa,2016-03-22,1.55
Amaime,Amaime,El Cerrito,Activa,2016-03-23,3.62
Amaime,Amaime,El Cerrito,Activa,2016-03-24,2.24
Amaime,Amaime,El Cerrito,Activa,2016-03-25,1.62
Amaime,Amaime,El Cerrito,Activa,2016-03-26,0.79
Amaime,Amaime,El Cerrito,Activa,2016-03-27,0.68
Amaime,Amaime,El Cerrito,Activa,2016-03-28,0.85
Amaime,Amaime,El Cerrito,Activa,2016-03-29,0.64
Amaime,Amaime,El Cerrito,Activa,2016-03-30,1.3
Amaime,Amaime,El Cerrito,Activa,2016-03-31,9.77
Amaime,Amaime,El Cerrito,Activa,2016-04-01,0.79
Amaime,Amaime,El Cerrito,Activa,2016-04-02,1.78
Amaime,Amaime,El Cerrito,Activa,2016-04-03,4.03
Amaime,Amaime,El Cerrito,Activa,2016-04-04,3.26
Amaime,Amaime,El Cerrito,Activa,2016-04-05,1.24
Amaime,Amaime,El Cerrito,Activa,2016-04-06,1.03
Amaime,Amaime,El Cerrito,Activa,2016-04-07,1.19
Amaime,Amaime,El Cerrito,Activa,2016-04-08,3.19
Amaime,Amaime,El Cerrito,Activa,2016-04-09,4.28
Amaime,Amaime,El Cerrito,Activa,2016-04-10,7.15
Amaime,Amaime,El Cerrito,Activa,2016-04-11,11.47
Amaime,Amaime,El Cerrito,Activa,2016-04-12,12.68
Amaime,Amaime,El Cerrito,Activa,2016-04-13,10.94
Amaime,Amaime,El Cerrito,Activa,2016-04-14,4.89
Amaime,Amaime,El Cerrito,Activa,2016-04-15,2.24
Amaime,Amaime,El Cerrito,Activa,2016-04-16,1.72
Amaime,Amaime,El Cerrito,Activa,2016-04-17,2.09
Amaime,Amaime,El Cerrito,Activa,2016-04-18,1.62
Amaime,Amaime,El Cerrito,Activa,2016-04-19,1.08
Amaime,Amaime,El Cerrito,Activa,2016-04-20,0.72
Amaime,Amaime,El Cerrito,Activa,2016-04-21,0.82
Amaime,Amaime,El Cerrito,Activa,2016-04-22,0.99
Amaime,Amaime,El Cerrito,Activa,2016-04-23,1.24
Amaime,Amaime,El Cerrito,Activa,2016-04-24,1.3
Amaime,Amaime,El Cerrito,Activa,2016-04-25,1.14
Amaime,Amaime,El Cerrito,Activa,2016-04-26,0.79
Amaime,Amaime,El Cerrito,Activa,2016-04-27,0.99
Amaime,Amaime,El Cerrito,Activa,2016-04-28,1.78
Amaime,Amaime,El Cerrito,Activa,2016-04-29,1.62
Amaime,Amaime,El Cerrito,Activa,2016-04-30,1.62
Amaime,Amaime,El Cerrito,Activa,2016-05-01,1.72
Amaime,Amaime,El Cerrito,Activa,2016-05-02,2.38
Amaime,Amaime,El Cerrito,Activa,2016-05-03,1.67
Amaime,Amaime,El Cerrito,Activa,2016-05-04,0.99
Amaime,Amaime,El Cerrito,Activa,2016-05-05,0.9
Amaime,Amaime,El Cerrito,Activa,2016-05-06,3.86
Amaime,Amaime,El Cerrito,Activa,2016-05-07,12.68
Amaime,Amaime,El Cerrito,Activa,2016-05-08,13.38
Amaime,Amaime,El Cerrito,Activa,2016-05-09,11.73
