rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,cobertura_pct,grupo,nombre_grupo,area_ha,pct
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,CT,Cultivos transitorios,6.14,0.95
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,PN,Pastos,16.69,2.59
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,MSC,Misceláneos de pastos / cultivos / espacios naturales,14.23,2.21
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,CSD,Cultivos cosechados o suelo desnudo,3.11,0.48
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,BN,Bosque natural,31.62,4.91
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,RA,Rastrojo y vegetación secundaria,16.02,2.49
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,HN,Herbazales y vegetación natural herbácea,0.24,0.04
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,HU,Humedales y superficies pantanosas,3.24,0.50
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,AGUA,Aguas continentales,13.62,2.12
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,ZU,Zona urbana,13.82,2.15
Rio Desbaratado,1,Antes de bocatoma cabecera Miranda,Antes de porcícola (Pte. Jordán),0.000,40.930,1351.90,49.8,INF,Infraestructura,17.59,2.73
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,CANA,Caña de azúcar,1163.02,79.65
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,CP,Cultivos permanentes,38.36,2.63
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,CSP,Cultivos semipermanentes,5.71,0.39
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,CT,Cultivos transitorios,7.17,0.49
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,PN,Pastos,27.26,1.87
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,MSC,Misceláneos de pastos / cultivos / espacios naturales,15.45,1.06
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,BN,Bosque natural,68.72,4.71
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,RA,Rastrojo y vegetación secundaria,29.17,2.00
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,AGUA,Aguas continentales,36.97,2.53
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,TE,Tierras eriales,3.00,0.21
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,ZU,Zona urbana,42.00,2.88
Rio Desbaratado,2,Antes de porcícola (Pte. Jordán),Puente Ortigal,40.930,65.380,2873.03,49.8,INF,Infraestructura,23.32,1.60
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,CANA,Caña de azúcar,78.53,16.56
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,CP,Cultivos permanentes,40.29,8.50
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,CT,Cultivos transitorios,35.09,7.40
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,PN,Pastos,111.65,23.54
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,11.97,2.52
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,CSD,Cultivos cosechados o suelo desnudo,1.97,0.42
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,BN,Bosque natural,24.76,5.22
Rio Fraile,1,Rio Frayle - Nacimiento El Pedregal,Rio Frayle - Puente Vía a Miranda,0.000,28.879,474.21,100.0,BP,Bosque plantado,14.52,3.06
