rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,area_referencia_ha,cobertura_pct,cod_cob25,clase,area_ha,pct,fuente_cana,cana_ha_uso_suelo,factor_reescalado
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,32111,Arbustal y matorral denso bajo de tierra firme,0.73,0.29,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,32210,Arbustal y matorral abierto alto de tierra firme,3.18,1.26,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,32211,Arbustal y matorral abierto bajo de tierra firme,6.79,2.68,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,35221,Áreas naturales desnudas,0.01,0.00,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,2,Rio Amaime - Antes Caserio el Placer,Rio Amaime - Antes desembocadura de Rio Nima,43.852,46.062,252.95,252.95,100.0,41120,Ríos,3.21,1.27,Uso_del_suelo_ZP,83.70,1.001247
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,11211,Zonas urbanas discontinuas,3.37,0.10,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,12111,Otras superficies artificiales con construcción,15.68,0.46,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,12211,Otras superficies artificiales sin construcción,20.67,0.61,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,21221,Misceláneo de árboles frutales,0.93,0.03,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,22171,Caña de azúcar,2684.17,78.73,Hectareas_CZ,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,22210,Otros cultivos arbustivos plantados abiertos,7.25,0.21,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,23110,Otros cultivos herbáceos plantados densos,0.40,0.01,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,23170,Pasto cultivado,104.42,3.06,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,23171,Pasto cultivado arbolado,31.00,0.91,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,23172,Pasto cultivado enmalezado,23.88,0.70,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,24130,Misceláneo de pastos y cultivos,1.86,0.05,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,24140,Misceláneo de cultivos y espacios naturales,0.58,0.02,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,25210,Áreas de cultivo con suelo desnudo,4.60,0.13,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31111,Bosque mixto denso alto de tierra firme,3.14,0.09,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31112,Bosque mixto denso bajo de tierra firme,8.30,0.24,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31211,Bosque mixto abierto alto de tierra firme,1.78,0.05,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31212,Bosque mixto abierto bajo de tierra firme,13.47,0.40,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31311,Bosque mixto fragmentado con pastos y cultivos,10.81,0.32,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31331,Bosque mixto fragmentado con vegetación natural,21.99,0.65,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31351,Bosque mixto relictual,4.83,0.14,Uso_del_suelo_ZP,2805.03,1.199957
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,3409.45,100.0,31352,Bosque de guadua,198.70,5.83,Uso_del_suelo_ZP,2805.03,1.199957
