Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
48;RIO RISARALDA, LAS PALMERAS;74;0.64;0.64;-;19.5;20.9;131.3;7.85;8.2;50;7.73;100;278;230;44.3;39.8;< 20;< 2;-;-;0.486;0.0129;0.093;-;< 5;37;-;-;120330;6630;2021-09-08;08:30:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;63;0.53;0.57;-;19.0;22.7;95.9;7.85;8.26;55;7.6;50;360;278;40.4;36;32.2;16.8;-;-;0.516;*;0.123;-;< 5;< 5;-;-;920800;45900;2021-12-01;09:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;70;0.68;0.71;-;19.0;24.6;83;7.44;8.17;65;7.6;40;236;164;35.4;38.2;< 20;< 2;-;-;0.5;0.0108;< 0.09;-;< 5;< 5;-;-;34480;3230;2022-04-06;08:30:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;72;0.75;0.74;40015;20.1;27;125.3;8.03;8.22;12;7.96;10;128;33;48.6;49.7;< 20;< 2;-;-;0.79;0.0107;< 0.09;-;< 5;< 5;-;-;27550;3090;2022-07-06;08:35:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;69;0.75;0.75;31892.24;21.8;27.8;100.5;7.94;7.99;20;7.77;20;110;41.5;42.2;41.1;< 20;5.97;-;-;0.374;0.0082;< 0.09;-;< 5;< 5;-;-;77010;3680;2022-10-19;09:20:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;70;0.7;0.72;-;18.6;25.8;96.1;7.93;8.25;36;-;20;152;61;38.3;39;22.8;< 2;-;-;0.467;0.0094;< 0.09;-;< 5;< 5;-;-;24810;4650;2023-04-12;08:45:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;74;0.75;0.75;11377.17;20.5;24.5;117.3;8.18;8.04;4.1;-;20;112;15.6;53.6;52;< 20;2.37;-;-;0.506;0.0159;0.132;-;< 5;< 5;-;-;21420;5120;2023-07-05;08:15:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;79;0.76;0.74;6854.71;23.3;25.3;145.6;7.54;7.91;3.6;-;10;109;6.3;75.5;59.6;< 20;< 2;-;-;0.487;0.0132;0.124;-;< 8;< 5;-;-;20140;1890;2023-09-13;08:10:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;80;0.83;0.8;5879.82;22.9;24.2;148;7.98;7.77;4;-;10;146;11.7;65.2;62.7;< 20;< 2;-;-;0.556;0.0086;0.121;-;< 8;< 5;0.833;< 0.025;26130;860;2024-03-06;09:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;78;0.77;0.74;29347.42;21.3;23.5;154.01;7.28;7.68;12;-;10;94.4;18.9;46.3;47.2;< 20;< 2;-;-;0.557;0.0127;< 0.09;-;< 8;< 5;-;-;155310;2230;2024-07-10;08:40:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;73;0.76;0.78;0;19.6;24.3;77.09;7.97;8.06;34;-;20;106;36.3;33.8;32.8;< 20;< 2;-;-;0.4;0.007;0.097;-;< 8;< 5;-;-;81640;2410;2025-02-19;08:50:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;70;0.77;0.69;18457.72;18.9;23.5;212.21;7.89;8.17;6.51;-;16;183;17.1;46.9;54.3;< 20;5.86;-;-;0.441;0.0161;0.117;-;13.9;< 5;-;-;285100;43200;2025-10-15;08:15:00;977.7670528
