"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1995 Sep 15 12:00:00 AM","ANTES SUAREZ","6.8","20","50","25","148","23","125","2","9.7","5.2","37.4","22","15.4","8.8","3.7","19.2","23.4","75.4","2.53",,"0.89",,"3.33",,"<0,002",,"0.022",,"<0,001",,,,,,"1.72","0","0.002","0.049","4.1","0.18","0.15","15.2","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","157"
"1995 Sep 15 12:00:00 AM","ANTES RIO OVEJAS","6.5","20","75","23","107","43","64","1.5","6.5","5.2","48.4","17.6","30.8","7","7.4","14.4","17.6","78.3","2.14",,"0.4",,"3.98",,"<0,002",,"0.031",,"<0,001",,,,,,"1.93","0","0.0013","0.082","5.1","0.09","0.024","18.88","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+03","2.40E+03",
"2010 Feb 17 12:00:00 AM","ANACARO",,"6.89","24.3","91.6","181","336","172","164","3.38","16.6","2.66","94","42","52","16.8","12.6","61.2","74.7","182",,,,,,,,,,,,,,,,,"<2,08","<1,06","0.0601","0.678","9.64","0.228","0.094","20.8",,,,,,,,,,"2.40E+05","1.10E+05"
"1995 Sep 15 12:00:00 AM","ANTES RIO TIMBA","6.7","20","100","60","188","104","84","2","11.9","7","35.2","22","13.2","8.8","3.2","16.8","20.5","68.5","3.11",,"0.17",,"3.1",,"<0,002",,"0.017",,"<0,001",,,,,,"2.97","0","0.002","0.126","3.1","0.17","0.022","14.33","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+04",
"1995 Sep 15 12:00:00 AM","PASO DE LA BALSA","6.7","20","75","50","164","104","60","1.9","9.7","7","28.6","15.4","13.2","6.2","3.2","16.8","20.5","68.5","3.92",,"0.33",,"2.71",,"<0,002",,"0.019",,"<0,001",,,,,,"1.93","0","0.015","0.1","3.1","0.14","0.079","17.04","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+04","234"
"1995 Sep 15 12:00:00 AM","PASO DE LA BOLSA","6.7","21","100","56","197","120","77","2.1","16.2","6.5","33","17.6","15.4","7","3.7","16.8","20.5","68.5","3.56",,"0.13",,"3.38",,"<0,002",,"<0,002",,"<0,001",,,,,,"1.932","0","0.003","0.169","3.1","0.16","0.0097","17.33","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"9.50E+05","2.40E+03","265"
"1995 Aug 30 12:00:00 AM","PUENTE HORMIGUERO","6.6","22","100","18","151","52","99","1.8","5.4","1.6","47.8","22.9","24.9","9.2","6","19.2","23.4","94.3","1.52",,"0.27",,"5.22",,"0.25",,"0.02",,"0.02",,,,,,"1.79","0","0.022","0.297","5","0.14","0.02","20.73","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+04","212"
"1995 Aug 30 12:00:00 AM","ANTES INTERCEPTOR SUR","7.1","22","50","15","153","30","123","2.7","2.8","6.2","43.7","27","16.7","10.8","4","24","29.3","94.3","1.78",,"0.39",,"4.97",,"0.35",,"0.02",,"0.04",,,,,,"2.24","0","0.013","0.199","5","0.08","0.018","19.96","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05",
"1995 Aug 30 12:00:00 AM","JUANCHITO","6.6","23","40","20","104","35","69","2.25","16.2","5.6","54.1","29.1","25","11.64","6","26.4","32.21","103.7","2.54",,"4.48",,"6.23",,"0.98",,"0.06",,"0.05",,,,,,"1.34","0","0.01","0.17","5","0.11","0.06","19.72","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","219"
"1995 Jun 02 12:00:00 AM","PASO DEL COMERCIO","7.2","*","100","38","177","70.1","106.9","4.9","19.4","4.6","56.2","37.4","18.7","15","4.5","34.5","42.1","107.7","2.02",,"0.03",,"2.52",,"1.18",,"<0,002",,"0.01",,,,,,"1.9","0","0.005","0.097","4","0.23","0.05","18.4","*",,"*",,"*",,"*",,,"*","*",
"1995 Jun 02 12:00:00 AM","PUERTO ISAACS","6.8","*","75","35","160","59","101","6","16.2","3","68.6","31.2","37.4","12.5","9","34.5","42.1","117.5","1.43",,"<0,002",,"2.63",,"1.22",,"<0,002",,"<0,001",,,,,,"4.1","0","0.015","0.177","5","0.19","0.05","19.37","*",,"*",,"*",,"*",,,"*","*",
"1995 Aug 30 12:00:00 AM","PASO DE LA TORRE","6.6","24.5","75","18","129","37","92","4.8","18.4","1.6","58.2","33.3","24.9","13.3","6","33.6","41","141.5","1.39",,"0.1",,"9.48",,"0.87",,"0.03",,"<0,001",,,,,,"2.69","0","0.039","0.202","7","0.23","0.08","23.36","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+07",
"1995 Aug 30 12:00:00 AM","VIJES","6.5","24.5","50","15","128","35","93","6.2","19.4","0.8","56.2","29.1","27.1","11.6","6.5","38.4","46.9","141.5","1.28",,"0.32",,"9.81",,"0.95",,"<0,002",,"<0,001",,,,,,"3.14","0","0.023","0.257","7","0.25","0.08","24.72","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06",
