"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"2019 Mar 19 12:00:00 AM","YOTOCO","6.67","26","212","50","190","46","144","9.29","16.7","0.9","49.2","28","21.2","11.2","5.16","51.6","51.6","176","1.2",,"<0,353",,"9.52",,"3.01",,"<0,0980",,"0.0726",,,,,,,,"< 0,0898","0.184","7.66","0.31","< 0,134","19.8","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","4.00E+03",
"2019 Mar 19 12:00:00 AM","MEDIACANOA","6.43","26","312","135","282","156","126","6.8","16.9","1.98","45.4","25.1","20.3","10.1","4.93","42.6","42.6","151","1.72",,"<0,353",,"8.88",,"4.18",,"<0,0980",,"<0,0300",,,,,,,,"< 0,0898","0.19","5.77","0.209","< 0,134","17.8","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","9.00E+03",
"2019 Mar 19 12:00:00 AM","RIOFRIO","7.47","24","1092","190","314","204","110","7.58","25.1","4.32","52.1","32.8","19.3","13.2","4.69","34.6","34.6","152","4.83",,"<0,353",,"7.7",,"3.92",,"<0,0980",,"0.222",,,,,,,,"0.0915","1.54","5.74","0.277","< 0,134","14.8","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","9.00E+03",
"2019 Mar 19 12:00:00 AM","PUENTE GUAYABAL","7.29","23","1000","210","288","207","81","9.06","<11,1","2.79","51.2","22.2","11.6","11.6","5.4","44.2","44.2","152","1.34",,"<0,353",,"7.89",,"2.4",,"<0,0980",,"0.102",,,,,,,,"0.117","1.04","5.86","0.227","< 0,134","14.5","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"1.50E+04","1.50E+03",
"2019 Mar 19 12:00:00 AM","LA VICTORIA","7.35","22","464","220","354","272","82","8.24","42.4","3.41","47.3","29","18.3","11.6","4.46","42.4","42.4","149","1.83",,"<0,353",,"7.9",,"3.71",,"<0,0980",,"0.0376",,,,,,,,"0.0996","1.33","4.76","0.213","< 0,134","15","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+04","2.40E+04",
"2019 Mar 19 12:00:00 AM","ANACARO","7.35","23","2915","600","696","560","136","8.84","28.4","3.38","51.2","31.8","19.3","12.8","4.69","40","40","155","3.27",,"0.377",,"7.36",,"4.11",,"<0,0980",,"0.0793",,,,,,,,"1.65","1.52","6.05","0.163","< 0,134","16.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+04","2.40E+04",
"2019 Mar 19 12:00:00 AM","PUENTE LA VIRGINIA","7.56","23","1840","400","460","385","75","7.16","29.9","3.93","45.4","30.9","14.5","12.4","3.52","41","41","126","2.56",,"<0,353",,"5.8",,"4.92",,"<0,0980",,"0.0349",,,,,,,,"0.146","1.85","5.16","0.405","< 0,134","11.9","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","1.50E+04",
"2019 Jun 18 12:00:00 AM","ANTES SUAREZ","7.06","22","229","32","72","18","54","2.19","<11,1","5","26.7","13.4","13.4","5.36","3.25","15.3","15.3","69.3","0.86",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"0.043",,,,,,,"0.708","< 0,0898","0.566","3.8","<0,0662","< 0,134","10.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+03","4.00E+02",
"2019 Jun 18 12:00:00 AM","ANTES RIO OVEJAS","7.36","22","147","26","70","<11,6","58.4","1.73","<11,1","5.01","21","11.5","9.55","4.59","2.32","15.2","15.2","70.1","<0,318",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"<0,0300",,,,,,,"1.14","< 0,0898","0.552","3.87","<0,0662","< 0,134","10","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"1.50E+03","9.00E+02",
"2019 Jun 18 12:00:00 AM","ANTES RIO TIMBA","7.24","22","133","28","82","<11,6","70.4","1.82","<11,1","5.82","20.1","12.4","7.64","4.98","1.86","16.4","16.4","65.9","0.471",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","< 0,0898","0.518","3.38","<0,0662","< 0,134","9.46","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","1.50E+04",
"2019 Jun 18 12:00:00 AM","PASO DE LA BALSA","7.31","22","184","45","120","40","80","1.5","<11,1","6.7","27.7","13.4","14.3","5.36","3.48","15.8","15.8","64.4","1.53",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"0.043",,,,,,,"0.564","< 0,0898","0.564","3.59","<0,0662","< 0,134","9.29","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+03","4.30E+03",
"2019 Jun 18 12:00:00 AM","PASO DE LA BOLSA","7.33","22","216","60","128","55","73","2.01","<11,1","5.92","24.8","11.5","13.4","4.59","3.25","18","18","70.1","1.17",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","< 0,0898","0.557","3.33","<0,0662","< 0,134","9.96","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+03","2.30E+03",
"2019 Jun 18 12:00:00 AM","PUENTE HORMIGUERO","7.64","22","307","75","158","92","66","1.6","<11,1","6.42","27.7","14.3","13.4","5.74","3.25","22.4","22.4","81.5","1.6",,"<0,353",,"< 4,72",,"1.42",,"<0,0980",,"0.045",,,,,,,"<0,366","< 0,0898","0.464","3.62","0.067","< 0,134","10.3","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","4.30E+04",
"2019 Jun 18 12:00:00 AM","ANTES INTERCEPTOR SUR","6.85","22","260","70","188","133","55","2.1","<11,1","6.21","26.7","17.2","9.55","6.89","2.32","25.8","25.8","85.4","2.24",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","< 0,0898","0.649","3.66","0.11","< 0,134","10.4","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","2.30E+04",
"2019 Jun 18 12:00:00 AM","JUANCHITO","7.55","22","328","65","198","124","74","2.54","<11,1","6.19","34.4","17.2","17.2","6.89","4.18","28","28","86.9","1.88",,"<0,353",,"< 4,72",,"< 1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","< 0,0898","0.735","3.5","0.107","< 0,134","10.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+05","2.30E+04","382"
"2019 Jun 18 12:00:00 AM","PASO DEL COMERCIO","7.5","23","196","55","214","120","94","3.19","13.1","5.81","37.2","20.1","17.2","8.04","4.18","30","30","97.8","1.88",,"<0,353",,"< 4,72",,"1.38",,"<0,0980",,"<0,0300",,,,,,,"0.717","< 0,0898","0.675","4.28","0.169","< 0,134","11","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","1.50E+05",
"2019 Jun 18 12:00:00 AM","PUERTO ISAACS","7.42","22","187","50","176","90","86","3.25","<11,1","5.15","36.3","19.1","17.2","7.66","4.18","30.5","30.5","104","1.87",,"<0,353",,"< 4,72",,"1.69",,"<0,0980",,"<0,0300",,,,,,,"0.597","< 0,0898","0.647","4.28","0.108","< 0,134","11.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","4.30E+05",
"2019 Jun 18 12:00:00 AM","PASO DE LA TORRE","7.24","23","141","60","140","70","70","3.63","14.6","4.3","37.2","22","15.3","8.81","3.71","34.3","34.3","114","1.43",,"<0,353",,"4.95",,"1.82",,"<0,0980",,"<0,0300",,,,,,,"0.886","< 0,0898","0.635","4.86","0.149","< 0,134","12.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","9.30E+04",
"2019 Jun 18 12:00:00 AM","VIJES","7.34","23","226","80","228","138","90","4.61","<11,1","3.92","36.3","22","14.3","8.81","3.48","37.4","37.4","121","3.16",,"<0,353",,"< 4,72",,"1.34",,"<0,0980",,"0.107",,,,,,,"1.27","< 0,0898","0.653","4.99","0.216","< 0,134","12.8","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","4.30E+04",
"2019 Jun 18 12:00:00 AM","YOTOCO","7.18","23","328","70","288","135","153","6.08","13.3","3.13","46.8","22","24.8","8.81","6.04","40.8","40.8","130","2.5",,"<0,353",,"< 4,72",,"1.3",,"<0,0980",,"<0,0300",,,,,,,"1.06","< 0,0898","0.695","5.41","0.199","< 0,134","12.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","1.50E+05",
"2019 Jun 18 12:00:00 AM","MEDIACANOA","7.29","23","341","55","250","154","96","5.65","<11,1","2.9","48.7","26.7","22","10.7","5.34","41.4","41.4","128","<0,318",,"<0,353",,"< 4,72",,"1.43",,"<0,0980",,"<0,0300",,,,,,,"0.82","< 0,0898","0.678","5.14","0.13","< 0,134","12.1","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+05","4.00E+04",
"2019 Jun 18 12:00:00 AM","RIOFRIO","7.47","25.4","275","120","220","156","64","5.04","<11,1","2.84","48.7","28.4","20.3","11.4","4.94","39.9","39.9","125","8.96",,"<0,353",,"< 4,72",,"1.36",,"<0,0980",,"0.038",,,,,,,"0.509","< 0,0898","1.16","4.38","0.182","< 0,134","12.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","4.30E+04",
"2019 Jun 18 12:00:00 AM","PUENTE GUAYABAL","7.48","26.1","1001","180","234","188","46","5.06","<11,1","2.81","50.8","26.4","24.4","10.6","5.92","41.9","41.9","123","3.05",,"<0,353",,"< 4,72",,"1.83",,"<0,0980",,"0.047",,,,,,,"1.03","< 0,0898","1.21","4.21","0.348","< 0,134","11.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.00E+03","4.00E+03",
"2019 Jun 18 12:00:00 AM","LA VICTORIA","7.52","25.4","989","160","342","234","108","4.4","11.3","3.09","50.8","28.4","22.3","11.4","5.43","39.4","39.4","135","3.3",,"<0,353",,"< 4,72",,"1.73",,"<0,0980",,"<0,0300",,,,,,,"0.395","0.126","0.861","4.73","0.243","< 0,134","11.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","4.00E+03",
"2019 Jun 18 12:00:00 AM","ANACARO","7.49","27","2004","190","534","413","121","3.8","<11,1","3.29","57.5","23.7","33.8","9.49","9.49","41.6","41.6","125","4.52",,"<0,353",,"5.67",,"2.04",,"<0,0980",,"<0,0300",,,,,,,"1.64","< 0,0898","1.25","3.76","0.483","< 0,134","11.7","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","2.30E+04",
"2019 Jun 18 12:00:00 AM","PUENTE LA VIRGINIA","6.87","24.6","336","90","210","130","80","3.51","<11,1","3.51","64.3","33.8","30.5","13.6","7.4","46.1","46.1","143","2.17",,"<0,353",,"< 4,72",,"1.47",,"<0,0980",,"<0,0300",,,,,,,"0.448","0.117","0.905","4.55","0.178","< 0,134","11.5","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","1.50E+04",
"2019 Aug 14 12:00:00 AM","ANTES SUAREZ","6.35","20","69","7.5","82","<11,6","70.4","1.39","<11,1","5.94","25.4","12.2","13.2","4.89","3.21","14.1","14.1","85.1","<0,318",,"<0,353",,"4.88",,"1.33",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,00973","0.66","4.67","<0,0662","<0,0562","15.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+03","4.00E+02",
"2019 Oct 23 12:00:00 AM","PUERTO ISAACS","7.33","26","293","130","230","127","103","6.33","<11,1","1.19","54","28","26","11.2","6.32","39.9","39.9","155","1.82",,"<0,353",,"9.09",,"2.58",,"<0,0980",,"<0,0300",,,,,,,"1.01","<0,0898","1.09","7.82","0.21",,"19.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"7.50E+04","7.50E+04",
"2019 Aug 14 12:00:00 AM","ANTES RIO OVEJAS","6.25","20","66.5","5.8","58","<11,6","46.4","2.82","11.2","3.17","26.3","14.1","12.2","5.65","2.97","12.9","12.9","85.4","0.328",,"<0,353",,"<4,72",,"<1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,00973","0.39","4.88","<0,0662","<0,0562","15.9","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.00E+02","4.00E+02",
"2019 Aug 14 12:00:00 AM","ANTES RIO TIMBA","7.08","20","67","5.8","58","<11,6","46.4","1.6","23.2","5.4","23.5","11.3","12.2","4.53","2.97","13.6","13.6","83.9","<0,318",,"<0,353",,"<4,72",,"<1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.01","0.26","4.37","<0,0662","<0,0562","15.3","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.00E+03","4.00E+03",
"2019 Aug 14 12:00:00 AM","PASO DE LA BALSA","6.86","22","87","15","70","16","54","1.79","20.2","5.63","22.6","12.2","10.4","4.89","2.53","15.2","15.2","81.9","0.476",,"<0,353",,"<4,72",,"<1,27",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,00973","0.25","4.13","<0,0662","<0,0562","14.4","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","4.00E+03",
"2019 Aug 14 12:00:00 AM","PASO DE LA BOLSA","6.96","22","96.3","16","58","17","41","2.14","16.2","6.23","25.4","14.1","11.3","5.65","2.75","14.8","14.8","83.9","1.12",,"<0,353",,"<4,72",,"1.3",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,00973","0.78","4.24","<0,0662","<0,0562","14.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","9.00E+03",
"2019 Aug 14 12:00:00 AM","PUENTE HORMIGUERO","7.17","16","114","22","82","17","65","2.05","35.8","5.57","34.8","17.9","16.9","7.17","4.11","22.6","22.6","101","0.792",,"<0,353",,"6.61",,"1.61",,"<0,0980",,"<0,0300",,,,,,,"< 0,366","0.026","0.315","5.53","0.067","<0,0562","14.7","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+04","2.40E+04",
"2019 Aug 14 12:00:00 AM","ANTES INTERCEPTOR SUR","7.06","16","108","25","120","26","94","2.24","19.4","5.5","35.7","16","19.7","6.41","4.79","25","25","104","1.02",,"<0,353",,"5.92",,"1.4",,"<0,0980",,"<0,0300",,,,,,,"< 0,366","0.022","0.396","5.65","0.087","<0,0562","15","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","4.30E+04",
"2019 Aug 14 12:00:00 AM","JUANCHITO","7.05","18","92.1","24","92","19","73","2.24","<11,1","4.71","38.5","18.8","19.7","7.54","4.79","25.8","25.8","108","1.01",,"<0,353",,"6.93",,"1.67",,"<0,0980",,"<0,0300",,,,,,,"< 0,366","0.031","0.626","6.16","0.094","<0,0562","14.8","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"7.50E+04","7.50E+04","170"
"2019 Aug 14 12:00:00 AM","PASO DEL COMERCIO","7.02","18","143","25","102","19","83","5.06","13.9","4.16","37.6","19.7","17.9","7.9","4.35","23.9","23.9","125","0.952",,"<0,353",,"7.26",,"1.77",,"<0,0980",,"<0,0300",,,,,,,"1.03","0.032","0.41","6.45","0.192","0.057","15.4","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"1.50E+06","2.00E+05",
"2019 Aug 14 12:00:00 AM","PUERTO ISAACS","7.05","19","149","24","118","16","102","5.59","27.1","2.27","38.5","19.7","18.8","7.9","4.57","32.5","32.5","133","1.02",,"<0,353",,"8.34",,"1.81",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.038","0.35","7.42","0.194","0.077","15.7","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","9.00E+04",
"2019 Aug 14 12:00:00 AM","PASO DE LA TORRE","6.94","19","92.5","17","106","14","92","7.08","34.6","0.752","46.1","22.6","23.5","9.06","5.71","39.7","39.7","149","1.29",,"<0,353",,"9.47",,"1.92",,"<0,0980",,"0.04",,,,,,,"1.07","0.045","0.32","8.01","0.231","0.076","17","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","2.30E+05",
"2019 Aug 14 12:00:00 AM","VIJES","7.03","20","121","60","172","74","98","10.3","28.6","0.839","66.7","35.7","31","14.3","7.54","42.2","42.2","153","1.33",,"<0,353",,"9.62",,"1.94",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.064","0.27","7.9","0.224","<0,0562","17.1","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+05","9.30E+04",
"2019 Aug 14 12:00:00 AM","YOTOCO","7.08","20","81.4","18","116","17","99","6.14","39.4","0.74","38.5","19.7","18.8","7.9","4.57","51.7","51.7","174","0.998",,"<0,353",,"10.6",,"2.18",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.051","0.33","8.11","0.245","0.132","16.9","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","9.30E+04",
"2019 Aug 14 12:00:00 AM","MEDIACANOA","7.04","20","97.1","20","130","13","117","5.35","18.6","0.82","56.4","27.3","29.1","10.9","7.07","48.3","48.3","166","1.28",,"<0,353",,"10.1",,"2.12",,"<0,0980",,"<0,0300",,,,,,,"1.23","0.043","0.29","7.88","0.203","0.109","17.4","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"1.50E+05","1.50E+05",
"2019 Aug 14 12:00:00 AM","RIOFRIO","7.28","25","136","45","232","78","154","4.68","27.6","1.8","47","25.4","21.6","10.2","5.25","48.9","48.9","166","1.29",,"<0,353",,"9.92",,"2.13",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.05","0.41","7.79","<0,0662","0.082","16.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+02","2.30E+02",
"2019 Aug 14 12:00:00 AM","PUENTE GUAYABAL","7.62","26","153","37","240","77","163","4.6","25.7","2.39","47.9","29.1","18.8","11.7","4.57","53.2","53.2","176","1.19",,"<0,353",,"10.7",,"2.45",,"<0,0980",,"0.087",,,,,,,"<0,366","0.101","0.43","8.27","0.179","0.062","15.7","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"7.50E+04","2.30E+04",
"2019 Aug 14 12:00:00 AM","LA VICTORIA","7.26","26","122","37","210","59","151","4.6","<11,1","2.47","64.9","32","32.9","12.8","8","55.8","55.8","184","1.06",,"<0,353",,"11.7",,"2.65",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.105","0.63","8.73","<0,0662","<0,0562","17.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+04","9.00E+03",
"2019 Aug 14 12:00:00 AM","ANACARO","7.42","25","151","50","246","59","151","5.85","11.7","2.58","60.2","31","29.2","12.4","7.1","55.2","55.2","189","1.47",,"<0,353",,"11.7",,"2.55",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.185","0.76","8.63","0.146","0.087","17.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+03","9.00E+02",
"2019 Aug 14 12:00:00 AM","PUENTE LA VIRGINIA","7.41","26","134","34","258","81","177","4.18","27","2.35","64.9","32.9","32","13.2","7.78","64.6","64.6","199","1.04",,"<0,353",,"10.8",,"2.33",,"<0,0980",,"<0,0300",,,,,,,"<0,366","0.18","1.16","8.5","0.113","0.087","15.9","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+04","2.10E+04",
"2019 Oct 23 12:00:00 AM","ANTES SUAREZ","6.7","23.5","183","31","86","30","56","2.78","36.9","1.6","37","19","18","7.62","4.38","24.3","24.3","144","1.02",,"<0,353",,"6.43",,"2.01",,"<0,0980",,"<0,0300",,,,,,,"0.83","<0,0898","<0,0520","7.37","<0,0662","0.977","22.9","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+03","4.30E+02",
"2019 Oct 23 12:00:00 AM","ANTES RIO OVEJAS","6.72","23.5","171","27","102","23","79","1.55","14.8","1.62","34","18","16","7.21","3.89","23.6","23.6","184","0.997",,"<0,353",,"6.3",,"1.7",,"<0,0980",,"<0,0300",,,,,,,"0.73","<0,0898","<0,0520","7.29","<0,0662","<0,134","23","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+03","1.50E+03",
"2019 Oct 23 12:00:00 AM","ANTES RIO TIMBA","7.06","23.5","167","33","104","32","72","2.04","<11,1","4.9","35","19","16","7.62","3.89","29.7","29.7","111","0.628",,"<0,353",,"6",,"1.74",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,0898","0.572","5.93","<0,0662","<0,134","17.8","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+03","9.30E+03",
"2019 Oct 23 12:00:00 AM","PASO DE LA BALSA","7.16","23.6","201","45","90","46","44","2.18","<11,1","5.8","32","17","15","6.81","3.65","29.5","29.5","145","1.1",,"<0,353",,"5.27",,"1.43",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,0898","0.247","5.49","<0,0662","<0,134","17","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+04","9.30E+03",
"2019 Oct 23 12:00:00 AM","PASO DE LA BOLSA","7.28","22.3","324","65","128","68","60","2.39","<11,1","5.18","33","18","15","7.21","3.65","24.1","24.1","110","1.98",,"<0,353",,"5.04",,"1.65",,"<0,0980",,"0.0619",,,,,,,"<0,366","<0,0898","0.68","5.54","<0,0662","<0,134","16.5","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","4.00E+03",
"2019 Oct 23 12:00:00 AM","PUENTE HORMIGUERO","7.87","24","2347","360","706","680","26","3.55","34.6","4.87","47","24","23","9.62","5.59","32.9","32.9","124","4.58",,"<0,353",,"5.9",,"2.18",,"<0,0980",,"0.08",,,,,,,"<0,366","<0,0898","1.09","5.55","0.345","<0,134","18.9","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.40E+05","4.30E+04",
"2019 Oct 23 12:00:00 AM","ANTES INTERCEPTOR SUR","7.64","23","341","70","178","73","105","2.38","34.6","4.69","48","24","24","9.62","5.83","43.2","43.2","130","1.7",,"<0,353",,"6.08",,"1.88",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,0898","0.709","5.51","0.13",,"17.3","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"1.50E+05","4.00E+04",
"2019 Oct 23 12:00:00 AM","JUANCHITO","7.66","24","443","100","240","154","86","3.32","11.5","4.1","48","25","23","10","5.59","39.2","39.2","135","2.61",,"<0,353",,"6.99",,"2.37",,"<0,0980",,"0.0623",,,,,,,"<0,366","<0,0898","0.816","6.19","0.13",,"18.1","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","4.30E+04","218"
"2019 Oct 23 12:00:00 AM","PASO DEL COMERCIO","7.78","25","452","150","288","193","95","7.98","<11,1","1.89","53","27","26","10.8","6.32","46.5","46.5","150","2.6",,"<0,353",,"7.17",,"2.26",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,0898","1.68","7.41","0.24",,"18.4","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","4.30E+05",
"2019 Oct 23 12:00:00 AM","PASO DE LA TORRE","7.03","26","190","90","258","132","126","8.2","<11,1","0.497","85","43","42","17.2","10.2","65","65","184","1.25",,"<0,353",,"9.41",,"2.53",,"<0,0980",,"0.148",,,,,,,"<0,366","<0,0898","1.4","8.05","0.229",,"19.6","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+05","4.30E+05",
"2019 Oct 23 12:00:00 AM","VIJES","7.05","27","172","45","184","47","137","6.79","43.1","0.596","70","36","34","14.4","8.27","59.4","59.4","202","1.58",,"<0,353",,"12.5",,"3.1",,"<0,0980",,"0.0417",,,,,,,"2.37","<0,0898","0.348","10.3","0.283",,"21.7","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+05","7.30E+04",
"2019 Oct 23 12:00:00 AM","YOTOCO","7.16","26","199","55","242","94","148","5.19","<11,1","0.993","79","40","39","16","9.48","73.8","73.8","205","1.95",,"<0,353",,"10.4",,"2.83",,"<0,0980",,"<0,0300",,,,,,,"1.44","<0,0898","1.46","9.2","0.277",,"20.2","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"2.30E+05","9.00E+04",
"2019 Oct 23 12:00:00 AM","MEDIACANOA","7.16","26","180","55g","202","79","123","4.88","<11,1","1.19","66","33","33","13.2","8.02","58.3","58.3","186","1.46",,"<0,353",,"10.3",,"2.76",,"<0,0980",,"<0,0300",,,,,,,"1.73","<0,0898","0.678","8.61","0.21",,"19.5","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+03","9.30E+03",
"2019 Oct 23 12:00:00 AM","RIOFRIO","7.45","25.1","841","170","274","154","120","6","<11,1","1.2","63","32","31","12.8","7.54","62","62","171","1.98",,"<0,353",,"8.64",,"2.62",,"<0,0980",,"<0,0300",,,,,,,"0.45","<0,0898","1.87","7.12","0.214",,"16.3","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"4.30E+04","4.30E+04",
"2019 Oct 23 12:00:00 AM","PUENTE GUAYABAL","7.48","23.8","702","140","292","168","124","8.83","<11,1","2.38","68","35","33","14","8.02","59.9","59.9","180","2.29",,"<0,353",,"8.87",,"2.61",,"<0,0980",,"<0,0300",,,,,,,"<0,366","<0,0898","1.48","7.04","0.204",,"17.7","<0,0400",,"<0,288",,"<0,0900",,"<0,313",,,"9.30E+03","4.30E+03",
