Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
47;QUEBRADA CHAPATA, DESEMBOCADURA;72;0.74;0.72;3186;22.0;26.2;154.8;8.12;7.78;9.0;7.7;20;146;34.5;53.5;45.5;< 20;< 2;-;;0.794;0.0391;0.133;;< 5;< 5;0.19;< 0.025;72700;20980;2021-09-07;12:45:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;73;0.75;0.74;4912;22.0;25.9;126.4;7.83;7.71;11.0;7.98;20;130;48.5;51.8;46.6;< 20;< 2;-;;1.02;0.0287;0.219;;< 5;< 5;1.76;< 0.025;72700;11870;2021-11-30;14:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;77;0.77;0.75;4269;23.3;24.9;135.2;7.82;7.39;6.6;7.79;20;152;25.2;52.5;53;< 20;< 2;-;;1.08;0.0391;0.229;;< 5;7.68;2.67;< 0.025;81640;8600;2022-04-05;14:25:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;71;0.77;0.74;6215;22.0;29.5;144.5;7.08;7.56;8.2;7.78;5;122;24.6;53.5;52.7;< 20;< 2;-;;1.14;0.0341;< 0.09;;< 5;5.63;2.58;< 0.025;43520;17230;2022-07-06;08:35:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;72;0.76;0.74;2661.25;22.8;27;140.9;8.04;7.49;8.7;7.81;10;126;29.2;55.5;55.9;< 20;2.12;-;;0.75;0.0472;0.161;;< 5;< 5;0.34;< 0.025;141360;43520;2022-10-18;13:20:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;70;0.6;0.61;3325.78;23.5;26;138.6;7.6;7.68;20.0;-;30;267;148;47.9;56.5;33.5;10.6;-;;0.836;0.0641;0.159;;< 5;< 5;0.53;< 0.025;648800;8420;2023-04-11;13:30:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;70;0.73;0.72;1514.18;23.6;29.7;144.7;8.34;7.68;1.9;-;10;119;7.1;60.1;62.2;< 20;2.87;-;;0.976;0.0594;0.156;;< 5;5.95;1.68;< 0.025;77010;6200;2023-07-04;14:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;79;0.9;0.85;1158.98;26.4;29.5;155.82;8.06;7.72;1.7;-;10;134;5.25;63.8;64.2;< 20;< 2;-;;0.756;0.0173;0.246;;< 8;5.73;1.56;0.715;16700;200;2023-09-12;13:15:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;73;0.87;0.82;816.38;26.4;34;170.7;8.31;7.24;2.0;-;10;86.5;< 5;67.9;67.8;< 20;< 2;-;;0.875;0.0164;0.328;;< 8;5.23;2.28;0.027;23590;310;2024-03-05;13:30:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;71;0.76;0.72;6974.69;23.4;28.9;162.8;7.85;7.75;8.3;-;10;190;20.7;49.4;53.1;< 20;< 2;-;;0.258;0.0235;0.262;;< 8;6.73;2.39;0.094;98040;29090;2024-07-09;13:45:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;70;0.74;0.69;7723.24;22.4;27.4;185.43;7.47;7.77;32.0;-;20;151;59.5;44.5;48.7;< 20;2.27;-;;1.73;0.0239;0.144;;< 8;< 5;1.65;< 0.025;648800;36400;2025-02-18;13:50:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.77;0.71;1739.55;23.5;27;187.02;8.1;7.31;5.43;-;19;150;11.4;63.6;61.1;< 20;< 2;-;< 5;0.751;0.0912;0.23;< 0.015;< 8;5.48;0.989;< 0.025;241960;6020;2025-10-14;13:40:00;967.5718641
